"Document/Word","thanks popped kindness rocks open day event garden yesterday rock garden looks great opportunity plant crops feeling fantastic","show time sizzling coffee hot waiting see come along make kindness rock plant seedling last","time running put submissions wastewater plant service logan village chambers flat park ridge closes monday see link","join morning amp paint rock inspirational words bring kids art activities pop-up library amp free sat aug 18 community garden shaw street oval","see tomorrows open home schedule properties open flagstone amp see","hope see","presented residents winter video update outlines progress community","cr tells consulted extensively proposed treatment","presented residents winter video update outlines progress community development","cr tells consulted extensively proposed treatment plant near amp still time residents say","driver job domino indeed jobs","11 close investing first home buyer first home owner","mingle markets got come say hi feeling excited mingle markets","asked improved emergency services logan south-west recent queensland government budget includes funding police ambulance fire service facilities read"
"driver","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"job","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"domino","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"indeed","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"jobs","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"close","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"investing","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"first","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"buyer","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"owner","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"mingle","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"markets","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"got","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"hi","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"excited","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"asked","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"improved","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"emergency","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"services","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"south","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"west","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"recent","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"queensland","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"government","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"budget","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"includes","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"funding","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"police","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"ambulance","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"fire","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"facilities","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"read","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
