,tweet,Python_cosine,python_euclidean,matlab
587,opens 2 lanes road become bus lanes trying funnel much http,1,1,3
588,burst water main eastbound road,0,0,2
589,five dock accident eastbound road approaching street,4,3,5
590,university sydney trams road sydney http,2,2,3
591,accident westbound road bombay street,4,3,5
592,road electric trams,0,0,2
593,increase tolls increase traffic road reduce,3,4,1
594,guy pushing car road pulling plodding along,0,0,2
595,proposal build twin tower one last undeveloped sections road http,1,1,3
596,bus services delayed 15 minutes broadway road due heavy traffic,3,4,1
597,road auburn traffic,3,4,1
598,government spend million road including neighbourhood upgrades http,1,1,3
599,great see road finally given much needed love,0,0,2
600,delighted working six local councils help transform road corridor http,1,1,3
601,delighted working six local councils help transform road corridor,0,0,2
602,upgrade road announced every year long remember promises http,1,1,3
603,road area receive million dollars worth,0,0,2
604,road wow finally even go way u never hear good things road,0,0,2
605,state government spend fixing road open spaces larger parks,0,0,2
606,another plan never implemented,0,0,4
607,yet west nothing bottleneck express way road,0,0,2
608,government spend million road nsw news http,1,1,3
609,australia ugliest road corridors nsw budget road transport http,1,1,3
610,hello please buses along road weekend main arterial pitiful,0,0,2
611,broken truck westbound road,0,0,2
612,car fire road,0,0,2
613,alert coco republic warehouse clearance,0,0,4
614,weekend,0,0,4
615,60 road auburn http,1,1,3
616,testimonial road david smith,0,0,2
617,david team http,1,1,4
618,book test ride today,0,0,4
619,contact us,0,0,4
620,accident eastbound road street,4,3,5
621,traffic road controversial protesters,3,4,1
622,5 sirloin steak today find better deal cheap beers come game pool road,0,0,2
623,7 news petrol stations provide public toilet facilities many toilets available public use along road,0,0,2
624,west accident westbound road telopea avenue,0,0,2
625,lanes open road street earlier car crash traffic light,4,3,5
626,road street car crash closed 2 3 westbound lanes eastbound lanes open,4,3,5
627,actually plenty excuses roads road king street downright dangerous areas,4,3,5
628,visiting old friend road,0,0,2
629,rope chill every tuesday sanctuary road come play 3,0,0,2
630,two three lanes closed road street due crash traffic queued around,4,3,5
631,road traffic waiting long long long time,3,4,1
632,spotted bakery starving stood road eating pie,0,0,2
633,tweet proves know talking road ends open google maps educate,0,0,2
634,buses delayed 20 minutes broadway road due heavy traffic,3,4,1
635,summer hill flooding road,0,0,2
636,wonder ever deal road peak hour fucking mayhem,0,0,2
637,north blocked broken vehicle southbound concord road road,0,0,2
638,traffic lights flashing yellow road road,3,4,1
639,checked come see road http,1,1,3
640,hi guys opening fabric store need someone help measure roll fabrics,0,0,4
641,location road lei http,1,1,3
642,traffic road rooted disgraced former protesters,3,4,1
643,buy rent used sell first antique shop side road,0,0,2
644,let know fill potholes road,0,0,2
645,traffic along road returned normal earlier crash near james ruse drive,3,4,1
646,clyde lanes reopened car struck pole near james ruse traffic still extra travel time,3,4,4
647,imagination road becoming little bit cool days part cool shops,0,0,2
648,auburn breakdown eastbound road street,4,3,5
649,traffic road slow ass truck drivers absurd,3,4,1
650,friday may 18 sydney chamber commerce convenes conference growing roads problem road worst nsw,2,2,2
651,accident road bold street,4,3,5
652,traffic road subject changed traffic conditions vacuous property developers,3,4,1
653,go see bloke middle road auburn beast owner,0,0,2
654,school modern australian politics located auto alley road sydney,2,2,2
655,road dogs breakfast avoid,0,0,2
656,riding bus old ladies telling history road literally amazing one even knitting,0,0,2
657,five dock accident road near byron street,4,3,5
658,accident directions road concord road,0,0,2
659,500,0,0,4
660,check road http,1,1,3
661,avoid entrance western sydney side motorbike accident ambulance cops site traffic backed road,2,2,1
662,trucks current dive site clogging road,0,0,2
663,come quite clear long road current state need http,1,1,3
664,road renamed river,0,0,2
665,reckon time move,0,0,4
666,hope including famous olympia milk bar road,0,0,2
667,warning speed cameras along road,0,0,2
668,think take night friend,0,0,4
669,update school routes inner west southern sydney limited buses tonight road,2,2,2
670,breakdown westbound road road,0,0,2
671,ca bus services along road strike,0,0,2
672,plenty replacement bus services along road,0,0,2
673,bus drivers strike inner west still buses running road mine blasting,0,0,2
674,accident road underwood road,0,0,2
675,holy imagine traffic road tomorrow people usually catch bus drive work,3,4,1
676,colts match report round 7 holmes,0,0,4
677,took battle driving along road concord,0,0,2
678,concord breakdown eastbound motorway road,0,0,2
679,concord car broken road causing heavy traffic conditions one eastbound lane closed,3,4,1
680,slow traffic westbound road,3,4,1
681,warehouse studio work space studios,0,0,4
682,road nsw,0,0,2
683,traffic road,3,4,1
684,make short trip road weekend face another super saturday,0,0,2
685,buses travelling delayed 15 minutes due heavy traffic road street street,4,3,1
686,next automotive mechanical repairers division meeting held tonight house road,0,0,2
687,bet privatisation bus services completely fix road magic market tm,0,0,2
688,inner west sydney bands know need name drop road songs,2,2,2
689,feel like walking past road bridal shops every morning prepared moment,0,0,2
690,cant trust public goodwill sell tech channel full first job road used cars,0,0,2
691,auburn accident westbound road duck street,4,3,5
692,concord heavy traffic road,3,4,1
693,olympic park pretty easy get auburn road,0,0,2
694,man left head injuries fight involving two men hotel road morning,0,0,2
695,olympic park delays westbound road,0,0,2
696,ok cool need rush traffic horrid road,3,4,1
697,tonight attended far strangest pub trivia life hotel road,0,0,2
698,auburn nsw,0,0,4
699,entry street south,4,3,4
700,buses delayed 15 minutes summer hill due heavy traffic road,3,4,1
701,come see bill shorten bill shorten road stand every car sell guaranteed,0,0,2
702,vehicles ca take train benefit instead road extended,0,0,2
703,thanks city rail nowhere stage track work huge traffic jams road,3,4,1
704,road delight,0,0,2
705,fancy one road,0,0,2
706,buses travelling broadway road longer delayed heavy traffic earlier,3,4,1
707,clyde accident eastbound road street,4,3,5
708,stalled bus southbound street road,4,3,5
709,accident eastbound road road,0,0,2
710,read cumberland council planned road corridor visit,0,0,2
711,guessing one told fire brigade street blocked road october,4,3,5
712,development halted road widened first,0,0,2
713,sold auction recent sale,0,0,4
714,road concord,0,0,2
715,1 bed http,1,1,4
716,drive sydney along road round get,2,2,2
717,shout recently opened new section greenway street road http,1,1,3
718,developers lose interest building along road delays continue expert,0,0,2
719,carter page looks like selling 2nd hand cars road,0,0,2
720,saw james riding bike road realised james,0,0,2
721,yeah well road lately tried get past,0,0,2
722,trump looking carefully australia infrastructure program model http,1,1,4
723,sunrise anzac day washing road golden light australia,0,0,2
724,traffic road expensive free-range heavy rain,3,4,1
725,auburn road road 1 3 southbound lanes closed due car fire exercise caution,0,0,2
726,debris westbound road cardigan street,4,3,5
727,train station walk north ground right hand side get road,0,0,2
728,north traffic lights flashing yellow road george street,4,3,1
729,sold road concord agent auctions property,0,0,2
730,junk shop road,0,0,2
731,unloved monoliths modern buildings road occasional,0,0,2
732,traffic road proof australia needs adopt new zealand traffic system,3,4,1
733,auburn breakdown eastbound road road,0,0,2
734,evolving road precinct set attract development market homes jobs http,1,1,3
735,truck broken leicester avenue road left lane closed heading south heavy traffic conditions,3,4,1
736,autumn sunset corner crystal street road australia,4,3,5
737,driving option road peak hour,0,0,2
738,1 3 westbound lanes closed road approaching due broken truck traffic,3,4,1
739,mitchell moses free take last tackle options way road forever,0,0,2
740,moment realise third world countries build maintain roads better sydney,2,2,4
741,road prepare,0,0,2
742,road 2nd january taken forensic police traffic http,1,1,3
743,road scene fatal accident involving taxi pedestrian broadway near th http,1,1,3
744,buses delayed 20 minutes due heavy traffic road road,3,4,1
745,going road traffic,3,4,1
746,concord closed eastbound church use road,0,0,2
747,west accident outbound road near centenary drive,0,0,2
748,buses returning time delays due heavy traffic road street street,4,3,5
749,one rainy afternoon days ago road took 30 minutes 2 get past sydney 2 city road turnoff,2,2,2
750,probably development equitably distributed see road corridor line corridor,0,0,2
751,breakdown southbound road king edward street,4,3,5
752,west breakdown westbound road,0,0,2
753,liverpool road intersection like breath testing,0,0,2
754,chevy impala seen road today,0,0,2
755,chevy,0,0,4
756,trams transform road http,1,1,3
757,collision involving bus westbound road street,4,3,5
758,nards storage http,1,1,4
759,government precisely accuse government pushing cars road,0,0,2
760,demand government reduces number cars road increase public transport,0,0,2
761,bacon patron saint opposing bus lanes road,0,0,2
762,buses better sadly forcing people pay tolls,0,0,4
763,posted photo road http,1,1,3
764,accident road avenue,0,0,2
765,accident eastbound road flood,0,0,2
766,road hurdle get past,0,0,2
767,clearly driving road,0,0,2
768,electric trams proposed road http,1,1,3
769,also theres large salvos store road one main far,0,0,2
770,road traffic going make late class mark talking us ca late mark,3,4,1
771,serious crash involving truck motorbike westbound eastbound westbound drivers urged use road instead,0,0,2
772,closed westbound due severe crash truck motorbike west diversion road,0,0,2
773,road photo,0,0,2
774,stuck peak hour jakarta known world worst traffic still bloody breeze next road,3,4,1
775,ferries cruising road,0,0,2
776,planners clue public transport plan road,0,0,2
777,driving home work smooth sailing get road near five dock car broken couple,0,0,2
778,communities across road,0,0,2
779,aptly named road bag shit like,0,0,2
780,solution gets http,1,1,4
781,auburn traffic lights flashing yellow road station road,3,4,1
782,accident road,0,0,2
783,heavy traffic westbound road road,3,4,1
784,tram solution proposed road,0,0,2
785,gets http,1,1,4
786,buses five dock delayed 20 minutes due heavy traffic road great north road street,3,4,1
787,may significant changes along inner west main transport route road one,0,0,2
788,sydney university road sydney history http,2,2,3
789,public transport plan road,0,0,2
790,think saw pirate road,0,0,2
791,road fancy useful http,1,1,3
792,ask traffic road well worse ever,3,4,1
793,senator asks supplementary question immigration impact housing demand prices,0,0,4
794,electric trams transport solution road less like long bus batteries http,1,1,3
795,artist impression project falls within road urban transformation area http,1,1,3
796,sydney road electric trams plan ease congestion http adelaide,2,2,3
797,rush build trad trams trackless trams pitched sydneys road,0,0,2
798,cheaper still road close sydney city city locations states http,2,2,3
799,road back news meet challenge road http,1,1,3
800,trackless trams pitched sydneys road,0,0,2
801,public transport plan road http,1,1,3
802,limited understanding road able support metro 2,0,0,2
803,everywhere call bus,0,0,4
804,electric trams proposed road,0,0,2
805,like geneva barcelona luxembourg trams magic bullet http,1,1,4
806,ca wait trams buses road,0,0,2
807,road plan absolute waste money demographic study road users,0,0,2
808,going push road future ivory tower inhabitants wake clown,0,0,2
809,trams proposed road,0,0,2
810,plans transform road taking 2 centre lanes electric buses,0,0,2
811,ms premier idea road envision trams regional areas growth,0,0,2
812,road become champs inner west treated like incredibly valuable resource actually,0,0,2
813,get behind road public transport plan think matters hugely one,0,0,2
814,pick one,0,0,4
815,road trackless trams,0,0,2
816,road solved trams,0,0,2
817,sydney road electric trams plan ease congestion abc online,2,2,2
818,new plan road featuring narrow guided electric transit vehicles narrow light rail rails announced today,0,0,2
819,gradually driving wall talks trams fixing road road already full buses,0,0,2
820,word bus make appearance article photo captioned trackless tram http,1,1,4
821,trackless tram dedicated bus lane middle road way passengers get kerb,0,0,2
822,seriously fix road traffic put buses middle road call trams,3,4,1
823,sydney road electric trams ease congestion http tram bus,2,2,3
824,track free trams road,0,0,2
825,city canada bay backing road public transport solution trackless trams centre corridor http,1,1,3
826,breakdown wattle street wattle road,4,3,5
827,track free tram faster bus runs middle road safe passengers,0,0,2
828,heard looking feasibility laying tram tracks road,0,0,2
829,thought bubble,0,0,4
830,take road,0,0,2
831,breaking announcing plan trams solve traffic jams road http,1,1,3
832,first look tram idea middle,0,0,4
833,changer calls electric bus transit system city,0,0,4
834,cool convoy buses towing road watch,0,0,2
835,considers trams road http,1,1,3
836,trams shuttling passengers along road within next five years,0,0,2
837,electric trams proposed road simple idea far tested european ones http,1,1,3
838,5 infrastructure goes road must come expense movements fantasy,0,0,2
839,including significant hills part road,0,0,2
840,tram tracks wires bus might part solution road first must bulldoze inner west,0,0,2
841,public transport plan 4 road good idea,0,0,2
842,however suspect rail road 4 permanent pops,0,0,2
843,electric trams proposed road http sydney,2,2,3
844,public transport plan sydney road http,2,2,3
845,australia electric trams proposed road sydney morning herald http business,2,2,3
846,electric trams proposed road http news brisbane,1,1,3
847,accident eastbound road bridge road,0,0,2
848,reckon ever bought wedding dress bridal shop road,0,0,2
849,traffic road surveillance overpriced activists,3,4,1
850,collision westbound road road,0,0,2
851,casual road wear happy night world,0,0,2
852,driver know get road street turn left,4,3,5
853,two things love,0,0,4
854,1 road specially raining,0,0,2
855,2 sarcasm,0,0,4
856,traffic road so-called sick,3,4,1
857,hood enjoy beautiful road,0,0,2
858,fan driving maybe steer clear road also currently river,0,0,2
859,ever worried road,0,0,2
860,morning every asshole road,0,0,2
861,news sydney twitter toll using road http,2,2,3
862,free road like road banked traffic,3,4,1
863,toll using road victoria road avoid toll,0,0,2
864,area developed little photo taken great shot road 1900s http,1,1,3
865,explore road,0,0,2
866,carnival cultures,0,0,4
867,tomorrow sunday 19 march,0,0,4
868,park corner road http,1,1,3
869,closed collision road liverpool road,0,0,2
870,new car park rent road new south wales australia http,1,1,3
871,sydney concord coffee http,2,2,4
872,last time saw hit like behind driving road,0,0,2
873,10 weekend home clearance auburn 100 road auburn nsw,0,0,2
874,buses travelling chippendale delayed 20 minutes due heavy traffic road broadway,3,4,1
875,road reopened directions traffic queued three kilometres direction,3,4,1
876,road closed directions,0,0,2
877,clyde road closed directions boom gates train line stuck clyde,0,0,2
878,road closed ways consider traffic also heavy,3,4,1
879,clyde rail boom gates stuck near marsh,0,0,4
880,traffic signals road james ruse,3,4,1
881,1 3 eastbound lanes road due truck breakdown approaching harris expect delays,0,0,2
882,north 1 2 eastbound lanes blocked near powell due breakdown traffic queued use road,3,4,1
883,eastbound delays road near church easing following earlier truck crash,0,0,2
884,westbound traffic road easing near street following earlier 2 car crash,4,3,5
885,blocked broken vehicle road road,0,0,2
886,crash westbound traffic banked back road,3,4,1
887,sunday 19 march,0,0,4
888,north blocked broken vehicle inbound western motorway road,0,0,2
889,fire street road bruce,4,3,5
890,mum singing blocking traffic road,3,4,1
891,mum,0,0,4
892,accident road heading away city wattle street expect delays,4,3,5
893,traffic chaos caused accident near concord road,3,4,1
894,traffic road time racist kale,3,4,1
895,traffic road rooted halal real estate agents,3,4,1
896,wet start day shoes ruined,0,0,4
897,advice parents always put billboard road put,0,0,2
898,fail public transport system sydney road,2,2,2
899,traffic road narrowed four lanes expected worsen significantly,3,4,1
900,public transport metro road toll roads induce traffic public transport quicker reduces win win,3,4,1
901,genuine question alternative road pretty dire,0,0,2
902,accident road near subway lane cleared,0,0,2
903,cyclist seriously injured hit bus road,0,0,2
904,road clear way peak times,0,0,2
905,2 3 westbound lanes road closed due bus cyclist crash,0,0,2
906,wan na go swim road,0,0,2
907,sydney university looking west road right sydney history http,2,2,3
908,calls progress light rail road plans go smoke greens,0,0,2
909,draft road urban transformation strategy released nsw government,0,0,2
910,appreciate sex shop top bridal store road,0,0,2
911,accident road near road,0,0,2
912,early concept design site falls within road urban transformation area,0,0,2
913,needs go soon developed areas sydney road asap,2,2,2
914,taking big messy dump bridge hanging road suddenly become item bucket list,0,0,2
915,cheat driving road every day great egg hatching,0,0,2
916,despise road,0,0,2
917,traffic road expensive halal,3,4,1
918,breakdown outbound road liverpool road,0,0,2
919,park road http,1,1,3
920,road worst road sydney sydney traffic,2,2,1
921,lease unit road details,0,0,2
922,pennant hills road cumberland highway road north,0,0,2
923,another car got rear-ended two cars ahead us looked serious stupid traffic jam road,3,4,1
924,stuck road car park fucking brilliant,0,0,2
925,accident road road clear,0,0,2
926,road rescue going one appliance district 14 rescue http amp amp amp,1,1,3
927,beautiful rust paint bug patina road,0,0,2
928,road disgraceful condition sydney sun http,2,2,3
929,broken truck outbound road street,4,3,5
930,sign petition light rail road http,1,1,3
931,exactly happening road,0,0,2
932,road near slash checking tires sign duff miss,0,0,2
933,road 10th february history sydney http,2,2,3
934,road 10 february originally story dirty approaches sydney photo,2,2,2
935,7 news hunt driver left man injured road http,1,1,3
936,opened another used car site road,0,0,2
937,visit showroom market great quality used vehicle,0,0,4
938,police hunting driver silver involved hit run road,0,0,2
939,coco red palace road nsw http,1,1,3
940,road creeping along lane astounded flying past,0,0,2
941,road flooded hope car swim well,0,0,2
942,nsw weather news flash flooding road flood street comments pointed http,4,3,3
943,flash flooding road flash flooding road http,1,1,3
944,advise passengers find alternative route,0,0,4
945,impressive flash flooding road sydney today severe thunderstorms http,2,2,3
946,sydney needs flooding road every time rains mean look,2,2,2
947,say along road rain stopped surprised floated ingress,0,0,2
948,flash flooding road http,1,1,3
949,anzac parade victoria road fucked,0,0,2
950,get house today http,1,1,4
951,flooding flood street road,4,3,5
952,sydney video,2,2,4
953,nsw flooding flood street,4,3,4
954,flash flooding road flood street http,4,3,3
955,nsw weather front office morning road summer hill pretty chaotic http,1,1,3
956,traffic ways road flood street affected due flooding,4,3,1
957,flooding affecting traffic person trapped car corner road flood street,4,3,5
958,lists road anzac bridge james ruse road areas affected wet weather advise caution release,0,0,2
959,road looking little flood,0,0,2
960,kinda moist kinda damp kinda soggy,0,0,4
961,slow traffic road,3,4,1
962,blocked broken vehicle road luke avenue,0,0,2
963,west accident southbound centenary drive road,0,0,2
964,broken truck northbound road road,0,0,2
965,love broadway neon sign night creative precinct art,0,0,4
966,big plans road sydney read,2,2,2
967,road reopened crash news http,1,1,3
968,inn road,0,0,2
969,anti people think public transport mean trucks use road anymore,0,0,2
970,lanes directions reopened road five dock bus services delayed 30 minutes,0,0,2
971,news car crash brings sydney power lines car crash brought power lines road http,2,2,3
972,major delays tonight road car hit power pole leaving wires across road westbound lanes closed,0,0,2
973,road backed harris five dock frederick,0,0,2
974,accident westbound road road,0,0,2
975,accident road five dock car smashed power pole police scene injuries 1st glance,0,0,2
976,clyde accident westbound road james ruse,0,0,2
977,lady hampshire road discovered last night,0,0,2
978,road non structure going one appliance district 14 http amp amp amp,1,1,3
979,taking regular class look window like road,0,0,2
980,road rail overpass,0,0,2
981,road fabulous,0,0,2
982,overseeing beautiful view road idea dinner yesterday,0,0,2
983,road full police optimistic see,0,0,2
984,crossed road today suffered street tree jealousy fever hospitalised felt trees,4,3,5
985,close stations like also road buses,0,0,2
986,new car park rent road auburn new south wales australia http,1,1,3
987,broken truck road lavender street,4,3,5
988,stalled bus road near nelson street,4,3,5
989,sydney number 1 clearly seen road,2,2,2
990,worlds 15 admired cities http,1,1,4
991,road cactus full stop,0,0,2
992,sydney traffic diverted road westbound around summer hill http,2,2,3
993,truck accident causes delays road http sydney news,2,2,3
994,breaking truck accident causes delays road,0,0,2
995,unit 4 road auburn got told ticket purchased,0,0,2
996,traffic diverted road westbound around summer hill sydney,2,2,1
997,drivers advised avoid road due truck accident snapped power pole brought wires,0,0,2
998,road sydney good city,2,2,2
999,demolition road roses emporium august 24 sydney http,2,2,3
1000,accident inbound road approaching railway street,4,3,5
1001,accident northbound church street road,4,3,5
1002,accident road near street,4,3,5
1003,morning headlights,0,0,4
1004,morning car lights urban city,0,0,4
1005,dark angel,0,0,4
1006,reaper art texture sydney photography,2,2,4
1007,top rated garden lodge sydney road nw,2,2,2
1008,think able breathe going pics like road,0,0,2
1009,changing name lucas brown,0,0,4
1010,motorway goes road great western highway,0,0,2
1011,broken truck outbound road road,0,0,2
1012,blocked fallen trees road road,0,0,2
1013,road temporarily closed street road crews remove fallen http,4,3,3
1014,university sydney main gate road street,2,2,5
1015,west traffic lights blacked road road,3,4,1
1016,manage road queen,0,0,2
1017,traffic road fully breakfast radio announcers,3,4,1
1018,string lebanese along road know like blacks,0,0,2
1019,tunnels joined project director johnson tour westbound lanes 30 metres road,0,0,2
1020,clyde accident road street,4,3,5
1021,blocked broken vehicle road street,4,3,5
1022,accident eastbound road bland,0,0,2
1023,breaking motorcycle accident closed two three westbound lanes road,4,3,5
1024,limits road still fair bit developments areas,0,0,2
1025,traffic road time left-wing property developers,3,4,1
1026,honestly fuck road,0,0,2
1027,accident street street road,4,3,5
1028,setup sydney anarchist fair back books today road http,2,2,3
1029,road fucked night,0,0,2
1030,sydney thinking using road today vehicle bother quicker walking,2,2,2
1031,sydney factory outlet open 51 road nsw,2,2,2
1032,road urban transformation strategy details http,1,1,3
1033,buy bikes,0,0,4
1034,looking sell bike come see us,0,0,4
1035,road give wade scott http,1,1,3
1036,shanghai delhi hell road,0,0,2
1037,wish seeing life ill tonight 7 chances avoiding traffic road getting 0,3,4,1
1038,broken truck westbound road great north,0,0,2
1039,road better,0,0,2
1040,road bus driver passengers pulls road,0,0,2
1041,maybe forty years time fashionable restaurant based diesel road bus,0,0,2
1042,food truck weekends concept taking road starve,0,0,2
1043,deliver side road,0,0,2
1044,thank thank,0,0,4
1045,photos taken baby fairy penguin found trapped drain near road,0,0,2
1046,road contact frank li,0,0,2
1047,men tracked bird three hours waddled canal busy road http,1,1,3
1048,baby fairy penguin found trapped drain near road soon returned wild,0,0,2
1049,clyde train arms road james ruse drive,0,0,2
1050,tomorrow friday night studio drinks road nsw welcome http,1,1,3
1051,beautiful road sydney travel australia,2,2,2
1052,lease level 3 road details http,1,1,3
1053,wall veteran fig trees victoria park broadway wonderful trees along road,0,0,2
1054,summer hill breakdown eastbound road,0,0,2
1055,featured space day secure parking road nsw,0,0,2
1056,traffic road buggered halal sick,3,4,1
1057,love road ca get enough,0,0,2
1058,nsw government create road cycle lane sign petition http,1,1,3
1059,end oldest road sydney road,2,2,2
1060,road become vibrant urban corridor,0,0,2
1061,ever driver got lost drive road,0,0,2
1062,breakdown eastbound road harris,0,0,2
1063,road urban transformation strategy http planning sydney,2,2,3
1064,hurry visit store road,0,0,2
1065,great bargains exclusive designer fabrics http,1,1,4
1066,burst water main outbound road near street,4,3,5
1067,traffic road colourful,3,4,1
1068,posted photo road,0,0,2
1069,breakdown westbound road crystal,0,0,2
1070,wonderful concepts urban strategy taking shape,0,0,4
1071,need somewhere 20 minutes ago get every red light road,0,0,2
1072,breakdown outbound road road,0,0,2
1073,worse road,0,0,2
1074,lady hampshire hotel road opened business lady acquired,0,0,2
1075,gave dream thursday night messina magnums road,0,0,2
1076,bad propaganda seen road sydney,2,2,2
1077,highlight stuck road john voice came blasted 2 cars join,0,0,2
1078,fun,0,0,4
1079,lessons convention centre planning raise hope fish market road agility http,1,1,3
1080,broken truck westbound road street,4,3,5
1081,road urban transformation strategy http,1,1,3
1082,traffic road closing late right-wing,3,4,1
1083,good morning sydney,2,2,4
1084,sunrise sydney australia http,2,2,4
1085,road sydney history,2,2,2
1086,road always like,0,0,2
1087,experts obviously think road fine,0,0,2
1088,ever driven road,0,0,2
1089,road 31 billion rede http plan transform sydney construction australia,2,2,3
1090,road australia also known beirut bad day road,0,0,2
1091,road corridor always carry bulk every type transit seems,0,0,2
1092,north accident concord road road,0,0,2
1093,checking unique cars,0,0,4
1094,skyline ford bronco mini road,0,0,2
1095,glad road really loud busy let massive burp,0,0,2
1096,join road 9 found,0,0,2
1097,9 na go play road,0,0,2
1098,blocked broken vehicle eastbound road bold street,4,3,5
1099,road get facelift,0,0,2
1100,plus sure lines road precinct,0,0,2
1101,road housing reduction proposed levy slow development,0,0,2
1102,road redevelopment released,0,0,2
1103,latest plan road corridor announced yesterday transformation,0,0,2
1104,road long awaited plans revealed http,1,1,3
1105,homes slated road http,1,1,3
1106,road housing reduction proposed levy slow development http,1,1,3
1107,concord broken truck westbound road,0,0,2
1108,infrastructure concerns follow road 31 billion redevelopment plan,0,0,2
1109,bad day road defies efforts improve http,1,1,3
1110,big plans population lives road expected increase,0,0,2
1111,bicycle track along road vision already failed starts 39 billions,0,0,2
1112,infrastructure concerns follow road 31 billion redevelopment plan http sydney news,2,2,3
1113,31 billion transformation plan road details,0,0,2
1114,revamped road look like answers,0,0,2
1115,change road,0,0,2
1116,transport change http,1,1,4
1117,bad day road defies efforts improve,0,0,2
1118,bad day road defies efforts improve http abc news,1,1,3
1119,road transformed urban paradise says daily telegraph http,1,1,3
1120,great see talking housing solutions new homes road enough,0,0,2
1121,great news road urban transformation strategy includes affordable housing target,0,0,2
1122,nsw federation media release new affordable homes lifetime renewal http,1,1,4
1123,road housing reduced jobs included new plan sydney west http,2,2,3
1124,road tough location planning minister rob stokes announce improvements region,0,0,2
1125,nsw transform sydney,2,2,4
1126,really need road though complete hole,0,0,2
1127,cause loads traffic road,3,4,1
1128,surely better storeys completely dead stretch road,0,0,2
1129,road turned congested nightmare urban paradise 31 billion upgrade,0,0,2
1130,road plan http,1,1,3
1131,new homes road affordable good enough inclusive fair,0,0,2
1132,based headline housing targets affordable new homes built road redevelopment http,1,1,3
1133,road housing reduced jobs included new plan sydney west http sydney,2,2,3
1134,oh another plan revamp road colour astonished,0,0,2
1135,sydney road finally get makeover http,2,2,3
1136,plan turn road urban paradise http,1,1,3
1137,yeah road,0,0,2
1138,perennial sydney yarn road become nice place really,2,2,2
1139,based headline housing targets affordable new homes built road redevelopment,0,0,2
1140,road 31 billion redevelopment plan transform sydney http,2,2,3
1141,road upgrade,0,0,2
1142,nsw government released final form strategy transform road http,1,1,3
1143,really expect remove many cars road paid,0,0,2
1144,road get homes 31 billion makeover http,1,1,3
1145,road 31 billion redevelopment plan transform sydney sydney morning herald http,2,2,3
1146,road 31 billion redevelopment plan transform sydney http sydney news,2,2,3
1147,spend night reading encounters people patronised olympia milk bar road,0,0,2
1148,sun sets road frank pizza bar restaurant,0,0,2
1149,headache hot road many loud vehicles apparently mood,0,0,2
1150,kicked one corner road,0,0,2
1151,little nautical christening collection,0,0,4
1152,shop 2 road http,1,1,3
1153,see red modernism slated 4 demolition,0,0,4
1154,accident westbound road great north,0,0,2
1155,fill buster,0,0,4
1156,accident road george street,4,3,5
1157,road incident going district 14 http amp amp amp,1,1,3
1158,new arrivals also sale continues store 135 road,0,0,2
1159,including orders laybys,0,0,4
1160,maintenance westbound road crystal street,4,3,5
1161,property week road,0,0,2
1162,available stylish european,0,0,4
1163,accident westbound road liverpool road,0,0,2
1164,sydney developments road nsw http,2,2,3
1165,road kind mood experiment subculture walked pub full goths,0,0,2
1166,picked fresh orchids today road beautiful,0,0,2
1167,digitally enhanced special event desperately seeking,0,0,4
1168,reading cinemas,0,0,4
1169,100 road http,1,1,3
1170,closed eastbound carriageway motorway road road,0,0,2
1171,mon 31 oct fri 4 nov,0,0,4
1172,road closure road info http,1,1,3
1173,http two road adjoining yards choice two prominently located side side http,1,1,3
1174,oh look another cab driver trying take anzac bridge instead road new,0,0,2
1175,nobody talks road divide inner west real rich live north,0,0,2
1176,think right cooks river becoming kind cultural dividing line road used,0,0,2
1177,new arrivals cocktail dress road,0,0,2
1178,135 road half price sale continues http,1,1,3
1179,traffic road surveillance hipster ongoing police operations,3,4,1
1180,u remember 5th twitter tweet driving 12 tinny road 3 years ago,0,0,2
1181,sure,0,0,4
1182,half price sale continues store 135 road,0,0,2
1183,including lay-bys orders,0,0,4
1184,including http,1,1,4
1185,strikes sydney summer trio available cellars road http,2,2,3
1186,sydney developments road nsw new http,2,2,3
1187,ironic businesses italian forum closed due noise complaints yet road,0,0,2
1188,thursday oct 27 conversation begins,0,0,4
1189,footbridge theatre road university sydney,2,2,2
1190,sydney event professor john international law failed palestine,2,2,4
1191,listen crime podcasts walk associate road three thousand different murders,0,0,2
1192,pedestrian hit car road overnight http,1,1,3
1193,vehicle get traffic issues road commute day hope well,3,4,1
1194,driving fully booked except customers casual parking follow signs ground,0,0,4
1195,http stick shifts automobile road 7 single records,1,1,3
1196,tooths brewery broadway sydney,2,2,4
1197,pics humans road photo credit dylan jones mc adam norris actors joel http,1,1,3
1198,half price sale long evening dresses 135 road 50 original http,1,1,3
1199,buses travelling delayed 15 minutes due heavy traffic road http,3,4,1
1200,man charged death elderly pedestrian road http,1,1,3
1201,traffic road closing late overpriced,3,4,1
1202,found fuel cents road hopes finding lower prices prices seem http,1,1,3
1203,two turning lanes instead 3 road starts sunday prepared people concord,0,0,2
1204,road end past shit,0,0,2
1205,announcement second premises road underwood,0,0,2
1206,new premises road underwood call us drop see upgraded premises,0,0,2
1207,storage moving,0,0,4
1208,buses delayed 15 minutes due heavy traffic raw square leicester street approaching road,3,4,1
1209,crews building fire road,0,0,2
1210,apartment side,0,0,4
1211,person charged drug driving 3 car crash road,0,0,2
