,tweet,Python_cosine,python_euclidean,matlab
131,events sure lans road next year,0,0,2
132,planning drive buy shoes looks toll time time road looks ticket time train considers changing destination decides shop online cheaper faster,0,0,2
133,road opened formed voice continued improvement upgrade safety enhancements ever 97 years,0,0,2
134,name 2 roads hundreds stadium better spent canterbury money force motorists drive stadium third rate roads issue,0,0,4
135,road concord coming motorway,0,0,2
136,new westbound motorway motorway road north opened weekend access new set traffic lights powell george information,3,4,1
137,accident outbound road bombay street,4,3,5
138,clyde blocked broken vehicle southbound james ruse drive road,0,0,2
139,north breakdown road concord,0,0,2
140,well seen chick driving road left leg seat,0,0,2
141,one week xmas road genius thought good idea,0,0,2
142,accident directions road,0,0,2
143,evidence sydney traffic always sucked broadway looking west 21st december sydney,2,2,4
144,intersection road street viewed park park hall flats still sitting pride place corner great see things change,4,3,5
145,photos collage harvey,0,0,4
146,slow traffic northbound road,3,4,1
147,2 cars collided intersection road good street last night racing urgent call-out,4,3,5
148,road sorted decades ago,0,0,2
149,five dock accident inbound road near arlington street,4,3,5
150,driving new camera catching drivers behind wheel caught eye government effective far outperforming officers patrol one test road snapped offender every 49 seconds 72 hour,0,0,2
151,road new south wales,0,0,2
152,road site auburn home bulky goods retail complex tipped fetch writes http,1,1,3
153,road open earlier hazard cleared,0,0,2
154,auburn road closed due wires local diversions place http,1,1,3
155,yeah use road even city road excellent suggested route resource,0,0,2
156,direct route get alive,0,0,4
157,publican charles douglas uncle toms cabin road,0,0,2
158,slow traffic northbound frederick road,3,4,1
159,heavy traffic road albert street duck street,4,3,5
160,concord man rolled ute crashing power pole road drivers stopped help wreckage debris spread across two city bound lanes taken hospital treated cut head,0,0,2
161,concord breakdown westbound road street,4,3,5
162,much favour relaxing use helmets particularly peak hour road,0,0,2
163,senator david wants australia follow nt example relax mandatory helmet laws http,1,1,4
164,returns rental car pissing rain monday morning road,0,0,2
165,exhales,0,0,4
166,auburn breakdown westbound road,0,0,2
167,accident road great north road,0,0,2
168,broken semi westbound road road,0,0,2
169,sunday afternoon road car park gee tolling 7 km smart idea maybe run government think better way spending money used 7 km,0,0,2
170,walk arena saw docs story road somewhere,0,0,2
171,ill never know managed drive sydney using gps using side roads deliberately avoid road also accidentally ending north sydney time,2,2,2
172,definitely think cops reimburse fare cab related big trap road westbound cutting daft enough driving piss hour,0,0,2
173,wan na know cars road cant wait half second cross almost run,0,0,2
174,wrote closure olympia sydney boo house childhood time called road home,2,2,2
175,memories road,0,0,2
176,lease unit road details http,1,1,3
177,faq fuck making drive road peak hour play,0,0,2
178,state walks away joint study trams road,0,0,2
179,route buses delayed 45 minutes auburn due heavy traffic road,3,4,1
180,know v good day theres barely traffic road,3,4,1
181,travel almost bumper-to-bumper road finished toll small discourage using,0,0,2
182,deterrent going go away finished,0,0,4
183,instead built motorway right along next good bit road see google maps want motorway free paid tolls widened costs money,0,0,2
184,nowhere apparent road piece crap road ca widened allow traffic cars way get many places,3,4,1
185,neoliberal governments hate public transport,0,0,4
186,higher hourly rate road problematic necessary night work,0,0,2
187,monday paid 60 hour half hour trip driver turned promptly treated courteously got route right obeyed australian road rules new norm,0,0,2
188,yeah bloody mongrel cut road one afternoon gave finger lock throw away bloody key,0,0,2
189,met quarter yearling show 20 yrs ago hairs back neck stood disliked mongrel immediately removed show big mouth bad attitude creep see gut feeling right charge lock,0,0,4
190,breakdown road hill,0,0,2
191,blocked broken vehicle road approaching hill road,0,0,2
192,road olympia milk bar forced shut doors good food,0,0,2
193,stuck road drop kid school first definitely within hour look worries,0,0,2
194,located road centre easy access public transport street parking http,1,1,3
195,cant imagine decades living working road soul one shop visit regularly every time arrive frazzled mess,0,0,2
196,heavy traffic avenue road,3,4,1
197,heavy traffic road church street james ruse drive,3,3,1
198,heavy traffic frederick street street road,4,3,5
199,makes road look cute,0,0,2
200,aerial footage shows bumper-to-bumper traffic americans get head start thanksgiving travel http,1,1,4
201,change speed limit road roll dice,0,0,2
202,looks like sydney except road clogged new tolls,2,2,2
203,openly stated uses road,0,0,2
204,know road today,0,0,2
205,wriggling,0,0,4
206,seeing notifications delayed 40 minutes traffic road,3,4,1
207,travel new sensational road avoid toll order ensure profits corporations take hit budget make free,0,0,2
208,heavy traffic road street hay street,4,3,5
209,one day ill take road show glory,0,0,2
210,commercial retail property sale nsw road,0,0,2
211,gets wins councils innovative tram technology proposed 4 chartered institute logistics transport australia award 4 excellence moving people http,1,1,4
212,traffic road knackered fully sick,3,4,1
213,triumphs mirror sydney berry tackle subject road almost unbearable combination noise exhaust fumes factories empty shops note ruins ravaged facades ugliness adds kind honesty,2,2,2
214,wonderful unique book mirror sydney reviewed louis australian http,2,2,4
215,sydney road electric trams plan ease congestion,2,2,2
216,fuck hate road,0,0,2
217,breakdown eastbound road,0,0,2
218,broken truck road wattle,0,0,2
219,transport minister blocks track free trams http gets,1,1,4
220,think hes polo road,0,0,2
